,comment_text,toxic
64,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",1
65,"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",1
66,"""@G27Status: I could go for a fat ass bitch on my lap"" same",1
67,"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",1
68,"""@Stephenwildboy: Chilling &#128069;&#8482; http://t.co/mik3iPNle6"" sexy scally lad",0
69,"""@cheetahBluntz_: Its me hoe, its me hoe&#128129;"" shhhhh",1
70,"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",1
71,"""@soxdawg: RAWR!! RT @skinrubberboi: ""My"" sexy French scally. I love him! #frenchscally http://t.co/5idQ3R5Akz"" sexy scally woof woof",0
72,""" &amp; you might not get ya bitch back &amp; thats that """,1
73,"""@SnakecharmsDump: http://t.co/4b427dQZCV"" oh yeah fuck that bitch",1
74,""" bitch plz whatever """,1
75,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",1
76,"""@TEE_JONEZ: @16stanleys @KingCuh tuku ho idk blah blah blah"" &#128514;&#128514;&#128514;",0
77,"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",1
78,"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",1
79,"""@iCrawley: I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God",1
80,"""@snoleezey801: I don't ever expose females like that.. That's childish.."" bitch nigga shiiii.....",1
81,"""@jacaxeltlu: Eventually every bitch turns into that hoe."" # Truuu",1
82,"""@complex_uk: Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; http://t.co/mlr5eWgonK https://t.co/AvCHFj7reM"" hahaha",0
83,"""@Tmacc_GFG: &#8220;@tizzimarie: No slushes &#128549;&#8221;hoes nasty anyway fam""&#128564;",1
84,""" jus meet son now he ya mane ass bitches "" #Shots",1
85,"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1
86,"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",1
87,""" cant you see these hoes wont change """,1
88,"""@itscoleharmon_: When twitter rappers dm me their trash links http://t.co/35nMR4AUQg""",0
89,"""@fatboyswagg347: they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine""",1
90,"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",1
91,"""@juicyyyjayyyy: Side bitch Sunday &#128514;&#128514;&#128514;"" &#128514;&#128514;&#128514;",1
92,"""@__sneakyb: I hate when boys deny that they have bitches &#128080;&#128553;"" smh",1
93,"""@oldpicsarchive: H.G.Wells and Charlie Chaplin http://t.co/sTiDDHK3WT"" #History #Photography",0
94,"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",1
95,"""@splurgb_: Nothin in life is free.. Some of you bitches need to write that on ya panties""&#128557;&#128514;",1
96,"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",1
97,"""@datFullerkid: @TreVaughnLG yall both gimped up??"" Ain't tht a bitch huh lol",1
98,"""@demi_eggleton: oh my god I love Victoria Mitchell"" all my bitches love me",1
99,"""@realFORTES: Grudges are for weirdos""and bitches",1
100,"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",1
101,"""@nohands_24: ""@20ToLife_: ""@nohands_24: ""@DejaaLeeann_: @B_Coleman2 swears I'm #1 man"" easily"" easily"" behind Austin"" nip?",0
102,"""@_BeeDontCare My pussy still fresh"" &lt;----- something stank girls say.",1
103,"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",1
104,"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",1
105,"""@RiahSM: #hoesaintloyal"" well they're hoes,no one expects them to be loyal",1
106,"""@ortiz_jaylene: All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)",1
107,"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",1
108,"""@TayKnosBest: These hoes is crazy""",1
109,"""...Son of a bitch took my Tic Tacs.""

I like this movie.",1
110,"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",1
111,"""@RTNBA: Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes http://t.co/QCtPLxHEXM"" ....dudes a fag",1
112,"""@leikant: This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex http://t.co/TubivxbxcO"" love me some kinky scallies",1
113,"""@The_Realist_Sam: @Madrid2_ yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up @TropicalBlanket""i work 2-5",1
114,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,1
115,"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",0
116,"""@analicialouise: Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe",1
117,"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",1
118,"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",1
119,"""@jboii2: ima keep on giving these pussy ass niggas ah reason to hate !""",1
120,"""@UnHoly_Jack: These harbor bitches are all ""Party Bus hoes"""" Lol all?",1
121,"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0
122,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",1
123,"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",1
124,"""@Dietrich1892: Yall shut up:p"" make me bitch",1
125,"""@_rapdreams: bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &#128564;""",1
126,"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",1
127,"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",1
128,"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",1
129,"""@deepthroatMike: ""@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""#redneck"" woof woof",0
130,"""@Shun_stokes: My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &#128514;""",1
131,"""@ReachtheeCLIMAX: bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",1
132,""" pimps up pimps up hoes down "" Future voice",1
133,"""@allisonnamaya_: What should I name my cat, ideas?"" Mr pussy",1
134,"""@molssyo: Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:",1
135,"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1
136,"""@Theo17100: http://t.co/BYj1HOyhmG"" this scally lad would get it",0
137,"""@rhythmixx_: I told Mariam to but cigarettes for her birthday""

You also called me trash rn",0
138,"""@marackaf: &#8220;@white_thunduh: Aye yall ima tryout for the bowling team frfr&#8221; tryouts passed tho"" no theres two more retard",1
139,"""@SheWentToJordan: Can't worry about a bitch that ain't worried bout me"" #real",1
140,"""@TreLeKidd: Yo bitch is Gucci Mane RT @JabariTheGreat : My bitch a stoner &#128175;&#128175; http://t.co/lt9LIJjpg9""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;",1
141,""" if you're toes ain't done you pussy stinks """,1
142,"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",1
143,"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",1
144,"""@ayyee_ceee_: One mans trash &#128686; is another mans treasure &#127942;""",0
145,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",1
146,"""@ambitiousBree: @_1nonlykeisha u see the damn phone ringing? &#128547;&#128530;&#128542;"" when you married bitches makes demands!!!! You haven't called me",1
147,"""@fIirting: HE'S DOING IT RIGHT &#128525;&#128120;&#128158; http://t.co/JZKkiVUVjC"" no bitches smh",1
148,""" So hoes that smoke are losers ? "" yea ... go on IG",1
149,"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",0
150,""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",1
151,"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",0
152,"""@jayswaggkillah: Jackies a retard #blondeproblems"" At least I can make a grilled cheese!",1
153,"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",1
154,"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",1
155,"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1
156,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",1
157,"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",1
158,"""@TheoMaxximus: Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* http://t.co/nb5VgdssgI",1
159,"""@Yankees: Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP",0
160,"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",1
161,"""@TyJonCuffee: And if you ain't a hoe get up out my traphoussseeeee""",1
162,"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",1
163,"""@NastyCopper: Money getting taller and bitches getting blurry""",1
164,"""@jaimescudi_: ""@Tonybthrz_: ""@jaimescudi_: I swear if oomf try talking to me tomorrow.."" @"" @BarackObama"" pussy",1
165,"""@__taradise__: Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!",1
166,""" i need a trippy bitch who fuck on Hennessy """,1
167,"""@UberFacts: 15 sad TV character deaths we're still bitter over... http://t.co/uLclFUF8nC http://t.co/1RXYQOOsM0""ned stark was the man",0
168,"""@alexissixela__: &#8220;@white_thunduh: I legit watched it for about 30 or 40 seconds &#128529;&#8221;SO DID I WTF"" prob cause were retarded smh",1
169,"""@WannabeKanye: whys this bitch boosting herself http://t.co/uOd2f5WtKV""

Her size isn't exactly the most healthy tho",1
170,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",1
171,"""@alejandra_p13: These bitches love Sosa""",1
172,"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",1
173,"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",1
174,"""@royalswagg_: using y=mx+b to find the slope of that ass""",1
175,""" is that ya bitch """,1
176,"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",1
177,"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",1
178,"""@metroadlib: colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao",0
179,"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",0
180,"""@rugbysocklad: Lads being Lads! http://t.co/f3UJcYJ4OF"" fuck yeah. I love scally lad action. Hot trainers too.",1
181,"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",1
182,"""@__youreWelcome: Im a boss ass bitch"" ...that needs to sit in a corner",1
183,"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""",1
184,"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",0
185,"""@lildurk_: I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn",1
186,"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",1
187,"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",1
188,"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",1
189,"""@Sylvieamx: #Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht",1
190,"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",1
191,"""@YoungRicooo: Happy birthday bitch nigga @WexicanAfro702"" Thanks pal",1
192,"""@kazooook: We actin like it's the 7th day @WesGodLaFlare http://t.co/s9gMtEvpaT""
&#128123;spook",0
193,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",1
194,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,1
195,"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",0
196,"""@queendulaaa: Got a couple bitches saying they know me But I&#8217;ma let the money talk for me &#128526;&#128076;"" AND I'M LIKE... #WWYD",1
197,"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",1
198,"""@SamJLayman : Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*",1
199,"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",1
200,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",1
201,"""@QUAN1T0: 61% of welfare/government aid is claimed by white people. So y'all black slander is trash now.""",0
202,"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",0
203,"""@SukMySweetness: money only impress the simple broke bitches""",1
204,"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",1
205,"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",1
206,"""@savage_twotone: Next year bitches is gonna be like you gotta promise you won't expose me &#128514;&#128514;&#128557;""",1
207,"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",1
208,"""@hxhassan: Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https://t.co/ZmloKfWDQl""",0
209,"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH",1
210,"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",1
211,"""@sierrabernia: &#8220;@T2G_CincoKilby: Y'all think celebrity pussy different from the locals? &#128514;&#8221; yeah Meghan goods is""",1
212,"""@jethromass: Photo: http://t.co/CxRs5BVhPw"" he is in sole heaven",0
213,"""@molssyo: One of us is on drugs, and its me but you're still wrong &#128514; @currieburry"" hahahahahahah im a bitch sometimes (:",1
214,"""@djsliime: That long distance shit wack I knew the bitch was cheating""- uh oh",1
215,"""@__MALIBUbarbie: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here",1
216,"""@greggutfeld: a video an entire media will likely mock. http://t.co/XFr1cRXWSm"" i am such a crybaby",0
217,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",1
218,"""@WBeezy_: ""@QuaTheGreat: Aww their avis look so cute together &#128145; http://t.co/9lPorCb8w0"" &#128128;&#128128;&#128128;"" do I gotta get Ike avi on this bitch ?",1
219,"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",1
220,"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",1
221,"""@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*",1
222,"""@ashlingwilde: @ItsNotAdam is bored supposed to be cute, you faggot?"" Sometimes",1
223,"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",1
224,"""@ThatniggaTroy: Oomf so fuckin fine tho &#128553; dam"" @ her, don't be no bitch.",1
225,"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",1
226,"""@sleepy_yongguk: ""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &#128514;"" lmaoo",0
227,"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",1
228,"""@likemicah: Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too.",1
229,"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",1
230,"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",1
231,"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",1
232,"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",1
233,"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",1
234,"""@angelenagoley: 10 sex positions http://t.co/nt3PABMWsm http://t.co/JmHZ8Sczf0""naw this what u call fucking the soul outta bitch &#128557;",1
235,"""@iTrapWatermelon: tweety bird tho &#128514;&#128514;&#128514;&#128514;https://t.co/JbnoNM3N1P""",0
236,"""@morgandaylee: I'm feeling pretty fuckin ghetto"" Smh",1
237,"""@hazelebaby: Karma is a bitch #Damn #GodProtectsHisAngels &#128588;""

*sips tea*",1
238,"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",1
239,"""@Poobie_: When bitches TWERK on the computer....

ME: ""In ya &#128089;, in ya damn &#128089;&#8252;&#65039;""""",1
240,"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",1
241,"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",1
242,"""@RenegadeMo: Fat hoes get chose"" lol",1
243,"""@Vbomb20: @Woodchuck20 pussy"" love it",1
244,"""@jSadass: loud bitches annoy me""",1
245,"""@ronald_iongi: Ummmmmm okay http://t.co/4BVLsci5K5"" you got hoes from left to right &#128514;&#128514; do yah thang!",1
246,"""@iAMPickUpLines: You can call me Fireman cause I turn the hoes on.""",1
247,""" post a picture of that pussy get 200 likes """,1
248,"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",1
249,"""@babineaux_: I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype",1
250,"""@jgabsss: Stacey Dash won &#128166; http://t.co/PDLG46rjOL"" baddest bitch evaaaa",1
251,"""@ozzie_garza: @white_thunduh I'm so sure bitch"" frfr tf",1
252,""" i txt my old bitch my new bitch pussy wetter """,1
253,"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",1
254,"""@WitHaPrettyface: @_1nonlykeisha bet not be no bitches! &#128514;&#128080;&#128299;&#128299;&#128298;"" &#128514;&#128514; Kim bye!!!",1
255,"""@TEE_JONEZ: @KingCuh @16stanleys I'm not mad cuh hahaha"" suure.. tuku ho ita! &#128514;&#128514;",0
256,"""@Strap__: I ain't sharing no bitch if you mines you mines &#128175;""",1
257,"""@TheNewSAT: #NewSATQuestions
Yeah bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
@machinegunkelly",1
258,"""@SlimGirl_Probz: i'm hungry but ionn wanna spend my money on food&#128530;""Broke hoe problems &#128514;&#128514;&#128514;&#128128;",1
259,"""@Tmacc_GFG: BOBBY BITCH-by @BobbyShmurdaGS9 be getting me live as fuck"" hell yea i play that hoe before my workout",1
260,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",1
261,"""@maybe6789: Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend.",1
262,"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",1
263,"""@haitian__goLd: Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &#128514;&#128514;&#128514;&#128514;",1
264,"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",0
