index,comment_text,toxic
38,"' Entertain a flirtin ass niggah if you want too , That's gon be yo niggah friendly ass . &#9996;&#65039;",1
39,"' Cause these hoes ain't loyal ! And niggahs ain't either ! When it go down you callin for hittas that you ain't... http://t.co/hj8GAfFZaM",1
40,"1 thang i know these bitches come n go so keep em out your bussiness",1
41,"@1SonofYahweh he aint a real nigger, oh my bad a real nigga, but praise the sonsof satan for having not a realnigger qualitaties. Im hating?",1
42,"@1Corinthians126 #BooksOfGodWidom Proverbs 1:26 I also will laugh at your calamity; I will mock when your fear cometh;",0
43,"7 pounds never fails to make me cry. Im not bitch, I just relate to it",1
44,"@AlanMilner @Morning_Joe AlQueda doesn't use cell phones or the internet? Wow you #teabaggers are stupid",1
45,"*live ... lol what's wrong with these bitches man http://t.co/ZJYxCI9Ram",1
46,"@AJ0427 Just watched the Llewyn Davis doc. Warm fuzzies abound &#9786;&#65039;",0
47,"'2' good: Jeter hero for Yankees in send-off http://t.co/oStFoBGuFa via @ESPNNewYork",0
48,"@1deep_williard @Marlin_FishyAss it was old ratchet hoes Bruh",1
49,"@ASipOf_Mocha Dr. Phil, I'm having trouble figuring out what my fat ass wants to eat, where are the drinks and the bitches?",1
50,"@AceAlford_23 double up on this game bitch",1
51,"@1stBlock_Rody pussy",1
52,"' Leo Apolonio Look this niggah did a drive by on the bike http://t.co/3NisWlPNeC",1
53,"1300 for the eggs sunny side nicca .. @EastsideDame",0
54,"@AcaciaBrinley crusty hoe",1
55,"@Alejandro_Bihhh @CapoDaAssHole lol cause these hoes love me",1
56,"' That one niggah that grab the AUX cord and start playen weak ass music &#1041204;&#1041204;&#1041204;&#1041204; http://t.co/KOdyDgPgjA",1
57,"*Searches my yellow pages app for the nearest Jack In The Box*",0
58,"' This be me &#1041204;&#1041204;&#1041204; 
Cuh went from "" Its time to settle down "" to "" Where the hoes at ?! "" &#1041204;&#1041204;&#1041204; . http://t.co/bi9rbvjTUn",1
59,"' Baby moanin.... Got me zone'nn , I want this bitch next too me.... Pussy like ecstasy &#1043291;&#1041185; .",1
60,"@ABC its time. amend 14th amendment it was written to protect newly freed ex slaves. Its lived its purpose. time to end anchor baby loophole",0
61,"12 was like ""Blocked bitch"" &#8220;@NoBeeetch: Don't start ""@bdoulaoblongata: They are blocking us in #Ferguson http://t.co/ymPzHmzUxG""&#8221;",1
62,"' I guess a niggah just believe in ya that's proof for ya , can name a lot of things any other man wont do for ya... http://t.co/OTvw1vlDPY",1
63,"2 faced bitch",1
64,"' All jokes aside , I'm goin thru it a niggah heart hurt smh . &#1043214; .",1
